구분,2020년,2021년,2022년,평균,증감률,증감
관찰지역수,200,206,112,173,,
합계,"1,629,083","1,481,717","1,371,994",1494265,,
들꿩,4,1,0,2,-1,0.5
멧닭,0,0,0,0,0,0.85
메추라기,3,4,1,3,-0.766666667,0.5
꿩,501,334,363,399,-0.275449102,0.7
개리,43,42,37,41,-0.139534884,0.7
큰기러기,"87,771","83,534","90,333",87213,0.029189596,1
회색기러기,0,0,0,0,0,0.85
쇠기러기,"182,608","118,439","110,064",137037,-0.397266275,0.7
흰이마기러기,0,0,0,0,0,0.85
줄기러기,0,0,1,0,0,0.85
흰머리기러기,0,0,0,0,0,0.85
흰기러기,5,7,2,5,-0.7,0.5
붉은가슴기러기,0,0,0,0,0,0.85
캐나다기러기,0,2,1,1,0,0.85
흑기러기,0,1,0,0,0,0.85
흰얼굴기러기,0,0,0,0,0,0.85
혹고니,1,29,13,14,12,1
고니,10,2,3,5,-0.7,0.5
큰고니,"7,371","9,152","8,206",8243,0.11328178,1
혹부리오리,"28,949","40,413","15,535",28299,-0.56336661,0.7
황오리,"3,126","2,181",492,1933,-0.742610365,0.5
원앙사촌,0,0,0,0,0,0.85
원앙,"1,946","2,710","1,902",2186,-0.022610483,0.7
알락오리,"12,022","11,435","9,711",11056,-0.19223091,0.7
청머리오리,"3,406","3,983","2,091",3160,-0.386083382,0.7
홍머리오리,"8,554","10,830","7,613",8999,-0.110007014,0.7
아메리카홍머리오리,1,0,1,1,0,0.85
미국오리,0,0,0,0,0,0.85
청둥오리,"171,765","133,119","131,204",145363,-0.236142404,0.7
흰뺨검둥오리,"104,319","68,048","68,306",80224,-0.34521995,0.7
넓적부리,"8,798","5,987","6,456",7080,-0.266196863,0.7
고방오리,"8,720","10,786","6,820",8775,-0.217889908,0.7
발구지,0,0,0,0,0,0.85
가창오리,"406,351","326,354","435,762",389489,0.072378313,1
쇠오리,"21,576","12,931","9,912",14806,-0.540600667,0.5
미국쇠오리,1,0,0,0,-1,0.5
붉은부리흰죽지,0,0,0,0,0,0.85
큰흰죽지,0,0,1,0,0,0.85
미국흰죽지,0,0,0,0,0,0.85
흰죽지,"34,308","25,407","43,124",34280,0.256966305,1
붉은가슴흰죽지,0,0,0,0,0,0.85
적갈색흰죽지,0,0,1,0,0,0.85
북미댕기흰죽지,0,0,0,0,0,0.85
댕기흰죽지,"12,841","12,131","12,094",12355,-0.058173039,0.7
검은머리흰죽지,"8,510","54,197","42,810",35172,4.030552291,1
쇠검은머리흰죽지,0,0,0,0,0,0.85
호사북방오리,0,0,0,0,0,0.85
흰줄박이오리,27,51,0,26,-1,0.5
검둥오리사촌,43,193,0,79,-1,0.5
검둥오리,24,210,0,78,-1,0.5
바다꿩,1,0,0,0,-1,0.5
꼬마오리,0,0,0,0,0,0.85
흰뺨오리,"2,876","2,645","3,612",3044,0.255910987,1
북방흰뺨오리,0,0,0,0,0,0.85
흰비오리,882,626,581,696,-0.341269841,0.7
비오리,"9,893","9,388","6,169",8483,-0.376427777,0.7
바다비오리,"2,356","2,038",818,1737,-0.752801358,0.5
호사비오리,58,33,32,41,-0.548275862,0.7
아비,9,14,0,8,-1,0.5
큰회색머리아비,147,33,3,61,-0.979591837,0.5
회색머리아비,34,6,0,13,-1,0.5
흰부리아비,0,0,0,0,0,0.85
레이산알바트로스,0,0,0,0,0,0.85
알바트로스,0,0,0,0,0,0.85
흰배슴새,0,0,0,0,0,0.85
슴새,0,0,0,0,0,0.85
쇠부리슴새,0,0,0,0,0,0.85
붉은발슴새,0,0,0,0,0,0.85
검은슴새,0,0,0,0,0,0.85
바다제비,0,0,0,0,0,0.85
논병아리,"2,825","1,658","1,128",1870,-0.700707965,0.5
큰논병아리,2,40,0,14,-1,0.5
뿔논병아리,"12,155","16,879","37,743",22259,2.105141917,1
귀뿔논병아리,23,34,0,19,-1,0.5
검은목논병아리,402,414,151,322,-0.724378109,0.5
큰홍학,0,0,0,0,0,0.85
먹황새,0,0,0,0,0,0.85
황새,88,110,17,72,-0.706818182,0.5
검은머리흰따오기,0,0,0,0,0,0.85
따오기,0,6,9,5,0,0.85
적갈색따오기,0,0,0,0,0,0.85
노랑부리저어새,402,306,361,356,-0.10199005,0.7
저어새,37,33,32,34,-0.135135135,0.7
알락해오라기,0,7,3,3,0,0.85
덤불해오라기,0,0,0,0,0,0.85
큰덤불해오라기,0,0,0,0,0,0.85
열대붉은해오라기,0,0,0,0,0,0.85
검은해오라기,0,0,0,0,0,0.85
붉은해오라기,0,0,0,0,0,0.85
푸른눈테해오라기,0,0,0,0,0,0.85
해오라기,195,15,100,103,-0.587179487,0.7
검은댕기해오라기,0,0,0,0,0,0.85
흰날개해오라기,2,0,0,1,-1,0.5
황로,0,0,0,0,0,0.85
왜가리,"4,544","3,497","2,558",3533,-0.537059859,0.7
붉은왜가리,0,0,0,0,0,0.85
중대백로,"3,568","2,196","2,116",2627,-0.506950673,0.7
중백로,3,0,0,1,-1,0.5
쇠백로,461,201,278,313,-0.396963124,0.7
흑로,10,20,17,16,0.7,1
노랑부리백로,18,0,0,6,-1,0.5
큰군함조,0,0,0,0,0,0.85
군함조,0,0,0,0,0,0.85
큰사다새,0,0,0,0,0,0.85
사다새,0,0,0,0,0,0.85
푸른얼굴얼가니새,0,0,0,0,0,0.85
붉은발얼가니새,0,0,0,0,0,0.85
갈색얼가니새,0,0,0,0,0,0.85
민물가마우지,"18,328","21,196","18,283",19269,-0.00245526,0.7
가마우지,"2,918","3,275","3,642",3278,0.248115147,1
쇠가마우지,"1,842","1,350",40,1077,-0.978284473,0.5
붉은뺨가마우지,0,0,0,0,0,0.85
황조롱이,278,294,169,247,-0.392086331,0.7
비둘기조롱이,0,0,0,0,0,0.85
쇠황조롱이,5,7,3,5,-0.5,0.7
새호리기,0,0,0,0,0,0.85
헨다손매,0,0,0,0,0,0.85
흰매,0,0,0,0,0,0.85
매,24,47,26,32,0.083333333,1
물수리,53,49,28,43,-0.571698113,0.7
검은댕기수리,0,0,0,0,0,0.85
검은어깨매,2,0,0,1,-1,0.5
벌매,0,0,0,0,0,0.85
솔개,3,37,44,28,13.66666667,1
흰꼬리수리,162,223,174,186,0.074074074,1
참수리,5,8,4,6,-0.2,0.7
수염수리,0,0,0,0,0,0.85
고산대머리수리,0,0,0,0,0,0.85
독수리,679,896,477,684,-0.297496318,0.7
관수리,0,0,0,0,0,0.85
개구리매,7,2,1,3,-0.757142857,0.5
잿빛개구리매,43,68,50,54,0.162790698,1
알락개구리매,0,0,0,0,0,0.85
